OpenCart ID,Product Name,Base Price (INR),Special Price (INR),Discount %,Price in Paise
51,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker, 3 Liters, Silver",1339.28,635.59,53,133928
52,"Pigeon Inox Stainless Steel 5 Litre, Induction Base Pressure Cooker, Outer Lid,Silver",2049.1,1593.75,22,204910
53,"Pigeon Inox Stainless Steel Pressure Cooker 2 Liter Inner Lid Induction Bottom (Stainless Steel)",2004.46,1516.96,24,200446
54,"Pigeon Brio Triply Outer Lid Pressure Cooker 2 Liter, Stainless Steel induction &amp; Gas compatible Cooker, Silver",2409.82,1224.92,49,240982
55,"Pigeon Storm 3 Liter Induction Bottom Pressure Cooker (Aluminum)",1379.46,1008.92,27,137946
56,"Pigeon Storm 5 Litre Induction Bottom Pressure Cooker (Aluminium)",1781.25,1147.32,36,178125
57,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker, 7.5 Litres, Silver",2629.46,1516.96,42,262946
58,"Pigeon Calida Deluxe 3 Litre Induction Bottom (Aluminium)",1245.53,799.1,36,124553
59,"Pigeon Calida Deluxe 5 Litre Induction Bottom (Aluminium)",1691.96,1281.25,24,169196
60,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker, 10 Litres, Silver",2540.17,1816.96,28,254017
61,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker, 12 Litres, Silver",2945.53,1982.14,33,294553
62,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker without Induction Base, 2 Litres, Silver",1200.89,758.03,37,120089
63,"Pigeon Deluxe Aluminium Outer Lid Pressure Cooker, 5 Litres, Silver",2004.46,1223.21,39,200446
64,"Pigeon Amelia 5 Ltrs Induction Base Aluminium Inner Lid Pressure Cooker,Black",3075.89,1763.39,43,307589
65,"Pigeon Amelia 3 Liters Induction Base Aluminium Inner Lid Pressure Cooker,Black",2359.09,1598.21,32,235909
66,"Pigeon Aluminium Titanium Pressure Cooker Hard Anodised with Outer Lid Induction and Gas Stove Compatible 3 Litre Capacity for Healthy Cooking (Black)",2674.1,1267.85,53,267410
67,"Pigeon Aluminium Titanium Pressure Cooker Hard Anodised with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking (Black)",3031.25,1606.25,47,303125
68,"Pigeon Titanium 3 Litre Induction Bottom Pressure Cooker (Inner Lid)",1959.82,1196.42,39,195982
69,"Pigeon Titanium 5 Litre Induction Bottom Pressure Cooker (Inner Lid)",2674.1,1593.59,40,267410
70,"Pigeon Amelia 2 Liters Induction Base Aluminium Inner Lid Pressure Cooker,Black",2227.67,1477.67,34,222767
71,"Pigeon Titanium Hard Anodised Aluminium Outer Lid Handi Pressure Cooker, 2 Litres, Black",2049.1,1223.21,40,204910
72,"Pigeon Titanium Hard Anodised Aluminium Outer Lid Handi Pressure Cooker, 3 Litres, Black",2316.96,1401.78,39,231696
73,"Pigeon Titanium Hard Anodised Aluminium Outer Lid Handi Pressure Cooker, 5 Litres, Black",3031.25,1741.07,43,303125
74,"Pigeon Inox Stainless Steel 3 Litre, Induction Base Pressure Cooker, Outer Lid, Silver",2049.1,1311.6,36,204910
75,"Pigeon Inox Stainless Steel 2 Litre, Induction Base Pressure Cooker, Outer Lid, Silver",1825.89,991.07,46,182589
76,"Pigeon Stainless Steel Inox Plus Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 3 Litre Capacity (Silver)",2138.39,1112.08,48,213839
77,"Pigeon Stainless Steel Inox Plus Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity (Silver)",2811.6,1829.46,35,281160
78,"Pigeon Inox Stainless Steel Pressure Cooker 3 Liter Inner Lid Induction Bottom (Stainless Steel)",2316.96,1687.5,27,231696
79,"Pigeon Inox Stainless Steel Pressure Cooker 5 Liter Inner Lid Induction Bottom (Stainless Steel)",3075.89,2044.64,34,307589
80,"Pigeon Blendo USB rechargeable Personal Blender for Smoothies,Shakes with Juicer Cup Jar,330 ml,Blue,Medium",1436.44,888.98,38,143644
81,"Pigeon Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen Green,400 ml",461.86,168.64,63,46186
82,"Pigeon Handy Chopper with 5 Stainless Steel Blades and 1 Plastic Whisker (14077,XL,Green)",631.35,237.28,62,63135
83,"Pigeon Large Handy and Compact Chopper with 3 blades for effortlessly chopping vegetables and fruits for your kitchen,Green",546.61,177.96,67,54661
84,"Pigeon Egnite Emergency Lamp with 1600 mAh Rechargeable Lantern (Orange)",1436.44,906.77,37,143644
85,"Pigeon Radiance Emergency Lamp (Red)",648.3,364.4,44,64830
86,"Pigeon Radiance LED Torch with Emergency Light (Yellow)",648.3,364.4,44,64830
87,"Pigeon Led Lamp Radiance-Orange 2 hrs Torch Emergency Light (Orange)",648.3,364.4,44,64830
88,"Pigeon Radiance LED Torch with Emergency Light (Green)",648.3,364.4,44,64830
89,"Pigeon Illume 12W LED Red Emergency Light",1902.54,1439.83,24,190254
90,"Pigeon Zoom Electric Chopper 350 ml,Portable with 3 Stainless Steel Blades for Effortlessly Chopping Vegetables and Fruits-Green,30 Watts",1266.94,686.44,46,126694
91,"Pigeon Zoom Electric Chopper 250 ml,Portable with 3 Stainless Steel Blades for Effortlessly Chopping Vegetables and Fruits - Blue",1097.45,592.37,46,109745
92,"Pigeon Tornado Turbo Manual Chopper 1.5 L Used for Chopping,Atta Kneader,Slicing,Shredding and Whipping-Green,Large",1097.45,,0,109745
93,"Pigeon IRIS DRY IRON 1000 W Dry Iron (White &amp; Blue)",927.96,483.19,48,92796
94,"Pigeon Comfy Dry Iron (White) 1000w",758.47,444.91,41,75847
95,"Pigeon Gale Heavy Weight Dry Iron Press box Electric Iron for wrinkle free clothes (1000 Watt)",1439.83,761.86,47,143983
96,"Pigeon Inox Hydra 700 ml Bottle (Pack of 1,Silver,Steel)",352.67,150.89,57,35267
97,"Pigeon Inox Hydra 900 ml Bottle (Pack of 1,Silver,Steel)",441.96,186.44,58,44196
98,"Pigeon Bullet Stainless Steel Vaccum Insulated Flask for Hot and Cold (1000 ml)",1012.71,714.08,29,101271
99,"Pigeon Bullet Stainless Steel Vaccum Insulated Flask for Hot and Cold (750 ml)",911.01,642.37,29,91101
100,"Pigeon Bullet Stainless Steel Vaccum Insulated Flask for Hot and Cold (350 ml)",614.4,433.24,29,61440
101,"Pigeon 1.5 Litre Stainless Steel Hot Electric Kettle (Silver)",1012.71,422.88,58,101271
102,"Pigeon Hot Stainless Steel Electric Kettle,1.7 Litre,with 1500 Watt,Silver,Large",1266.94,677.11,47,126694
